Date,Close/Last,Volume,Open,High,Low
06/21/2021,$3453.96,3277130,$3476.42,$3482,$3434
06/18/2021,$3486.9,5247737,$3479.99,$3507,$3473.71
06/17/2021,$3489.24,5136531,$3403.18,$3497.2,$3401
06/16/2021,$3415.25,4202782,$3392,$3426.35,$3360.53
06/15/2021,$3383.13,2426200,$3384,$3396.9866,$3363.1101
06/14/2021,$3383.87,2569655,$3346.83,$3385,$3335.5
06/11/2021,$3346.83,2817352,$3349.65,$3366.58,$3333.45
06/10/2021,$3349.65,3476480,$3282.01,$3351,$3281.15
06/09/2021,$3281.15,2455530,$3272.87,$3297.58,$3270.7
06/08/2021,$3264.11,3416730,$3222.61,$3279.5321,$3218.01
06/07/2021,$3198.01,2215756,$3197.33,$3208,$3172.2
06/04/2021,$3206.22,2249749,$3212,$3221,$3198.81
06/03/2021,$3187.01,2398293,$3204.23,$3214.435,$3184.03
06/02/2021,$3233.99,2014524,$3223.1,$3235,$3208
06/01/2021,$3218.65,2430045,$3243.495,$3250.98,$3209.06
05/28/2021,$3223.07,2331509,$3242,$3247.99,$3219.7
05/27/2021,$3230.11,2561157,$3256,$3260.355,$3230.04
05/26/2021,$3265.16,2383986,$3274.591,$3295.73,$3258.51
05/25/2021,$3259.05,3261109,$3266.67,$3279.82,$3213.76
05/24/2021,$3244.99,2422813,$3215.5,$3257.95,$3210.4993
05/21/2021,$3203.08,4104882,$3250,$3256.6946,$3197.01
05/20/2021,$3247.68,2633192,$3244.4042,$3259.6799,$3236.18
05/19/2021,$3231.8,2679708,$3195,$3234.75,$3184
05/18/2021,$3232.28,2828391,$3292.575,$3312,$3230.37
05/17/2021,$3270.39,3685599,$3245.93,$3292.75,$3234.59
05/14/2021,$3222.9,3325022,$3185.56,$3228.86,$3183
05/13/2021,$3161.47,3356877,$3185.47,$3203.84,$3133
05/12/2021,$3151.94,4936410,$3185,$3207.94,$3133.1
05/11/2021,$3223.91,4619781,$3136.28,$3238,$3127.37
05/10/2021,$3190.49,5838603,$3282.32,$3283,$3190
05/07/2021,$3291.61,4710276,$3319.09,$3330.89,$3289.0704
05/06/2021,$3306.37,4447696,$3270,$3314.4,$3247.2
05/05/2021,$3270.54,3711308,$3338.855,$3354.695,$3264.36
05/04/2021,$3311.87,5439449,$3356.19,$3367.975,$3272.13
05/03/2021,$3386.49,5875530,$3484.73,$3486.645,$3372.7012
04/30/2021,$3467.42,7009346,$3525.12,$3554,$3462.5
04/29/2021,$3471.31,7682381,$3505.098,$3514.445,$3435
04/28/2021,$3458.5,4631884,$3434.8,$3489.88,$3425
04/27/2021,$3417.43,3827140,$3443.47,$3460,$3398.01
04/26/2021,$3409,4880708,$3348,$3428.45,$3330.94
04/23/2021,$3340.88,3196652,$3319.1,$3375,$3308.5
04/22/2021,$3309.04,2580590,$3371.68,$3372.87,$3301.45
04/21/2021,$3362.02,2211166,$3316,$3362.86,$3303.8061
04/20/2021,$3334.69,2623032,$3373.6,$3382.99,$3316
04/19/2021,$3372.01,2725405,$3390.33,$3435.9333,$3360.16
04/16/2021,$3399.44,3186049,$3380,$3406.8,$3355.59
04/15/2021,$3379.09,3233580,$3371,$3396.9999,$3352
04/14/2021,$3333,3145204,$3404.04,$3404.13,$3326
04/13/2021,$3400,3315837,$3400.845,$3432,$3395.63
04/12/2021,$3379.39,3281798,$3355.21,$3395.04,$3351.15
04/09/2021,$3372.2,4341473,$3304.7,$3372.2,$3288.9
04/08/2021,$3299.3,2812090,$3310.9,$3324.5,$3292
04/07/2021,$3279.39,3346227,$3233.8,$3303.6125,$3223.65
04/06/2021,$3223.82,2537809,$3223.75,$3247.31,$3217.04
04/05/2021,$3226.73,3334882,$3173,$3235.955,$3161.24
04/01/2021,$3161,2940318,$3117.94,$3162.44,$3115.55
03/31/2021,$3094.08,3093896,$3064.06,$3119.33,$3062.5
03/30/2021,$3055.29,2337603,$3070.01,$3073,$3034
03/29/2021,$3075.73,2745968,$3055.439,$3091.25,$3028.445
03/26/2021,$3052.03,3312924,$3044.06,$3056.66,$2996
03/25/2021,$3046.26,3563469,$3072.99,$3109.78,$3037.14
03/24/2021,$3087.07,2958981,$3151.04,$3160.31,$3085.15
03/23/2021,$3137.5,3817263,$3127,$3182,$3120.8501
03/22/2021,$3110.87,2902179,$3067.85,$3126.58,$3060.05
03/19/2021,$3074.96,4625354,$3029.23,$3077.285,$3016.63
03/18/2021,$3027.99,3657027,$3101,$3116.63,$3025
03/17/2021,$3135.73,3118584,$3073.22,$3173.05,$3070.22
03/16/2021,$3091.86,2538764,$3104.97,$3128.91,$3075.8601
03/15/2021,$3081.68,2918592,$3074.57,$3082.24,$3032.09
03/12/2021,$3089.49,2421888,$3075,$3098.98,$3045.5
03/11/2021,$3113.59,2776391,$3104.01,$3131.7843,$3082.93
03/10/2021,$3057.64,3012489,$3098.45,$3116.46,$3030.05
03/09/2021,$3062.85,4030032,$3017.99,$3090.96,$3005.1474
03/08/2021,$2951.95,4185008,$3015,$3064.59,$2951.31
03/05/2021,$3000.46,5388551,$3005,$3009,$2881.0001
03/04/2021,$2977.57,5481578,$3012,$3058.13,$2945.43
03/03/2021,$3005,3988725,$3081.18,$3107.775,$2995
03/02/2021,$3094.53,2595762,$3143.47,$3163.52,$3087.1201
03/01/2021,$3146.14,2733963,$3127.89,$3149.56,$3097.99
02/26/2021,$3092.93,4275930,$3095.2,$3122.44,$3036.7
02/25/2021,$3057.16,4533801,$3136.74,$3178.26,$3047.76
02/24/2021,$3159.53,3011275,$3166.75,$3171.23,$3125.38
02/23/2021,$3194.5,4677222,$3127.03,$3204.73,$3093.6
02/22/2021,$3180.74,3515679,$3208.13,$3232.3199,$3172.26
02/19/2021,$3249.9,4305184,$3328.23,$3333.5,$3245.75
02/18/2021,$3328.23,3033607,$3282.42,$3338,$3273.94
02/17/2021,$3308.64,3302099,$3263.6,$3320.91,$3259.4996
02/16/2021,$3268.95,2574721,$3254.05,$3308.3,$3253.591
02/12/2021,$3277.71,2335339,$3250,$3280.25,$3233.31
02/11/2021,$3262.13,2301417,$3292,$3292,$3248.06
02/10/2021,$3286.58,3151550,$3314,$3317.9548,$3254
02/09/2021,$3305,2203526,$3312.49,$3338,$3297.84
02/08/2021,$3322.94,3257391,$3358.5,$3364.9999,$3304
02/05/2021,$3352.15,3620808,$3319,$3377,$3302.71
02/04/2021,$3331,3670661,$3330,$3347,$3277.75
02/03/2021,$3312.53,7088781,$3425.01,$3434,$3308.62
02/02/2021,$3380,7098637,$3380,$3427.74,$3361.125
02/01/2021,$3342.88,4160212,$3242.36,$3350.26,$3235.025
01/29/2021,$3206.2,4293556,$3230,$3236.99,$3184.55
01/28/2021,$3237.62,3149228,$3235.04,$3301.68,$3228.69
01/27/2021,$3232.58,4660158,$3341.49,$3346.52,$3207.08
01/26/2021,$3326.13,2955235,$3296.356,$3338,$3282.87
01/25/2021,$3294,3749758,$3328.5,$3363.89,$3243.1463
01/22/2021,$3292.23,2821914,$3304.31,$3321.91,$3283.1644
01/21/2021,$3306.99,4945051,$3293,$3348.55,$3289.5675
01/20/2021,$3263.38,5309835,$3181.99,$3279.8,$3175
01/19/2021,$3120.76,3305142,$3107,$3145,$3096
01/15/2021,$3104.25,4243995,$3123.02,$3142.545,$3095.17
01/14/2021,$3127.47,3070919,$3167.52,$3177.9999,$3120.59
01/13/2021,$3165.89,3321244,$3128.44,$3189.95,$3122.08
01/12/2021,$3120.83,3514582,$3120,$3142.1418,$3086
01/11/2021,$3114.21,3669095,$3148.01,$3156.3841,$3110
01/08/2021,$3182.7,3537744,$3180,$3190.64,$3142.2
01/07/2021,$3162.16,3514545,$3157,$3208.542,$3155
01/06/2021,$3138.38,4394815,$3146.48,$3197.509,$3131.16
01/05/2021,$3218.51,2655548,$3166.01,$3223.38,$3165.06
01/04/2021,$3186.63,4411449,$3270,$3272,$3144.02
