Month,Symbol,Close,Volume,Date,
10/2020,DG,211.52,1829200,01/10/2020,
11/2020,DG,209.52,1550100,02/11/2020,
12/2020,DG,219.84,2027700,01/12/2020,
01/2020,DLTR,93.78,2191500,02/01/2020,
02/2020,DLTR,87.51,1906000,03/02/2020,
03/2020,DLTR,84.56,3936600,02/03/2020,
04/2020,DLTR,72.94,4847000,01/04/2020,
05/2020,DLTR,77.39,1665400,01/05/2020,
06/2020,DLTR,96.25,3060400,01/06/2020,
07/2020,DLTR,93.39,2399000,01/07/2020,
08/2020,DLTR,94.51,1516500,03/08/2020,
09/2020,DLTR,93.68,3014100,01/09/2020,
10/2020,DLTR,91.87,1700200,01/10/2020,
11/2020,DLTR,91.12,1259800,02/11/2020,
12/2020,DLTR,112.39,2039500,01/12/2020,
01/2020,D,81.96,3004200,02/01/2020,
02/2020,D,85.84,2030300,03/02/2020,
03/2020,D,84.18,5612300,02/03/2020,
04/2020,D,69.93,4381200,01/04/2020,
05/2020,D,75.61,2679700,01/05/2020,
06/2020,D,85.89,3799900,01/06/2020,
07/2020,D,82.35,2989200,01/07/2020,
08/2020,D,80.33,2355500,03/08/2020,
09/2020,D,77.82,3360600,01/09/2020,
10/2020,D,78.59,4894700,01/10/2020,
11/2020,D,81.66,3372700,02/11/2020,
12/2020,D,80.16,6360500,01/12/2020,
01/2020,DPZ,293.4,500000,02/01/2020,
02/2020,DPZ,270.75,926300,03/02/2020,
03/2020,DPZ,347.52,863600,02/03/2020,
04/2020,DPZ,333.77,1200100,01/04/2020,
05/2020,DPZ,357.3,794100,01/05/2020,
06/2020,DPZ,383.58,972400,01/06/2020,
07/2020,DPZ,375.71,436200,01/07/2020,
08/2020,DPZ,387.03,558500,03/08/2020,
09/2020,DPZ,410.15,502500,01/09/2020,
10/2020,DPZ,426.99,528300,01/10/2020,
11/2020,DPZ,376.03,601200,02/11/2020,
12/2020,DPZ,391.75,605600,01/12/2020,
01/2020,DOV,116.87,937500,02/01/2020,
02/2020,DOV,113.68,1516200,03/02/2020,
03/2020,DOV,107.4,1418200,02/03/2020,
04/2020,DOV,79.98,1218900,01/04/2020,
05/2020,DOV,91.47,879000,01/05/2020,
06/2020,DOV,97.75,738800,01/06/2020,
07/2020,DOV,95.6,628800,01/07/2020,
08/2020,DOV,103.14,755300,03/08/2020,
09/2020,DOV,111.42,493100,01/09/2020,
10/2020,DOV,107.14,623100,01/10/2020,
11/2020,DOV,114.87,654800,02/11/2020,
12/2020,DOV,122.64,741800,01/12/2020,
01/2020,DOW,53.75,5145200,02/01/2020,
02/2020,DOW,46.74,6364900,03/02/2020,
03/2020,DOW,41.42,7706700,02/03/2020,
04/2020,DOW,27.04,10339900,01/04/2020,
05/2020,DOW,33.93,8709300,01/05/2020,
06/2020,DOW,38.61,3014400,01/06/2020,
07/2020,DOW,40.75,4023600,01/07/2020,
08/2020,DOW,40.09,5079900,03/08/2020,
09/2020,DOW,47.27,5428300,01/09/2020,
10/2020,DOW,46.11,3407600,01/10/2020,
11/2020,DOW,47.82,3675800,02/11/2020,
12/2020,DOW,53.53,4328700,01/12/2020,
01/2020,DTE,109.53,1096980,02/01/2020,
02/2020,DTE,113.86,1130703,03/02/2020,
03/2020,DTE,99.27,2957475,02/03/2020,
04/2020,DTE,74.96,2520728,01/04/2020,
05/2020,DTE,85.69,1237040,01/05/2020,
06/2020,DTE,92.27,1075713,01/06/2020,
07/2020,DTE,93.62,1169830,01/07/2020,
08/2020,DTE,96.91,965263,03/08/2020,
