,Apple,AMD,Amazon,Cisco,Meta,Microsoft,Starbucks,Tesla,Qualcomm
14-Apr,132.03,78.55,3333.00,51.37,302.82,255.59,115.16,732.23,134.75
15-Apr,134.50,83.01,3379.09,51.64,307.82,259.50,116.66,738.85,137.84
16-Apr,134.16,82.15,3399.44,52.80,306.18,260.74,118.34,739.78,138.21
19-Apr,134.84,81.11,3372.01,52.85,302.24,258.74,117.60,714.63,135.25
20-Apr,133.11,79.27,3334.69,51.79,302.65,258.26,116.27,718.99,133.40
21-Apr,133.50,81.61,3362.02,51.93,301.47,260.58,116.74,744.12,136.19
22-Apr,131.94,79.06,3309.04,51.50,296.52,257.17,115.92,719.69,132.97
23-Apr,134.32,82.76,3340.88,51.91,301.13,261.15,117.56,729.40,135.43
26-Apr,134.72,85.41,3409.00,51.64,303.04,261.55,115.92,738.20,138.96
27-Apr,134.39,85.21,3417.43,51.37,303.57,261.97,116.15,704.74,138.01
28-Apr,133.58,84.02,3458.50,51.11,307.10,254.56,112.40,694.40,136.57
29-Apr,133.48,83.91,3471.31,51.46,329.51,252.51,114.63,677.00,142.68
30-Apr,131.46,81.62,3467.42,50.91,325.08,252.18,114.49,709.44,138.80
03-May,132.54,78.55,3386.49,51.17,322.58,251.86,115.72,684.90,137.43
04-May,127.85,78.61,3311.87,50.71,318.36,247.79,114.11,673.60,134.12
05-May,128.10,77.83,3270.54,51.13,315.02,246.47,113.48,670.94,134.65
06-May,129.74,77.89,3306.37,52.44,320.02,249.73,114.74,663.54,136.00
07-May,130.21,78.81,3291.61,53.43,319.08,252.46,114.34,672.37,137.85
10-May,126.85,75.99,3190.49,53.16,305.97,247.18,114.30,629.04,128.94
11-May,125.91,76.83,3223.91,52.83,306.53,246.23,113.55,617.20,128.37
12-May,122.77,74.64,3151.94,51.60,302.55,239.00,109.79,589.89,124.62
13-May,124.97,73.09,3161.47,52.49,305.26,243.03,110.49,571.69,127.11
14-May,127.45,74.59,3222.90,52.90,315.94,248.15,111.20,589.74,130.15
17-May,126.27,74.65,3270.39,52.94,315.46,245.18,110.98,576.83,129.80
18-May,124.85,74.44,3232.28,52.93,309.96,243.08,111.07,577.87,128.91
19-May,124.69,76.23,3231.80,52.47,313.59,243.12,109.67,563.46,130.66
20-May,127.31,78.06,3247.68,52.85,318.61,246.48,111.41,586.78,132.64
21-May,125.43,77.17,3203.08,52.43,316.23,245.17,110.92,580.88,131.46
24-May,127.10,77.44,3244.99,53.39,324.63,250.78,112.52,606.44,132.91
25-May,126.90,77.86,3259.05,53.31,327.79,251.72,112.63,604.69,133.75
26-May,126.85,78.34,3265.16,52.91,327.66,251.49,112.85,619.13,133.09
27-May,125.28,78.42,3230.11,52.92,332.75,249.31,113.51,630.85,133.64
28-May,124.61,80.08,3223.07,52.90,328.73,249.68,113.88,625.22,134.54
01-Jun,124.28,80.81,3218.65,52.62,329.13,247.40,113.34,623.90,133.94
02-Jun,125.06,81.97,3233.99,52.96,329.15,247.30,113.00,605.12,133.82
03-Jun,123.54,80.28,3187.01,53.33,326.04,245.71,111.12,572.84,131.78
04-Jun,125.89,81.58,3206.22,54.07,330.35,250.79,111.99,599.05,134.34
07-Jun,125.90,81.35,3198.01,53.92,336.58,253.81,111.33,605.13,133.32
08-Jun,126.74,80.89,3264.11,54.13,333.68,252.57,111.52,603.59,134.20
09-Jun,127.13,79.96,3281.15,54.02,330.25,253.59,111.39,598.78,132.89
10-Jun,126.11,81.56,3349.65,55.03,332.46,257.24,112.21,610.12,134.22
11-Jun,127.35,81.31,3346.83,54.77,331.26,257.89,112.56,609.89,134.62
14-Jun,130.48,81.55,3383.87,54.17,336.77,259.89,112.45,617.69,137.31
15-Jun,129.64,80.47,3383.13,53.79,336.75,258.36,111.89,599.36,135.58
16-Jun,130.15,80.11,3415.25,53.47,331.08,257.38,111.36,604.87,134.95
17-Jun,131.79,84.56,3489.24,53.13,336.51,260.90,111.39,616.60,135.35
18-Jun,130.46,84.65,3486.90,52.07,329.66,259.43,109.70,623.31,133.00
21-Jun,132.30,82.59,3453.96,53.18,332.29,262.63,110.97,620.83,133.96
22-Jun,133.98,83.58,3505.44,53.26,339.03,265.51,111.85,623.71,135.08
23-Jun,133.70,83.82,3503.82,52.76,340.59,265.28,111.56,656.57,135.52
24-Jun,133.41,86.10,3449.08,52.78,343.18,266.69,111.99,679.82,137.92
25-Jun,133.11,85.62,3401.46,53.06,341.37,265.02,113.04,671.87,137.65
28-Jun,134.78,87.08,3443.89,52.96,355.64,268.72,112.24,688.72,139.72
29-Jun,136.33,89.52,3448.14,52.91,351.89,271.40,112.27,680.76,142.62
30-Jun,136.96,93.93,3440.16,53.00,347.71,270.90,111.81,679.70,142.93
01-Jul,137.27,93.31,3432.97,53.44,354.39,271.60,113.41,677.92,140.80
02-Jul,139.96,94.70,3510.98,53.54,354.70,277.65,114.97,678.90,142.58
06-Jul,142.02,94.47,3675.74,52.98,352.78,277.66,115.73,659.58,141.19
07-Jul,144.57,90.54,3696.58,53.26,350.49,279.93,117.14,644.65,139.97
08-Jul,143.24,89.74,3731.41,53.26,345.65,277.42,115.99,652.81,138.29
09-Jul,145.11,90.90,3719.34,53.74,350.42,277.94,117.47,656.95,141.43
12-Jul,144.50,90.81,3718.55,53.23,353.16,277.32,118.46,685.70,142.47
13-Jul,145.64,90.26,3677.36,53.32,352.09,280.98,119.55,668.54,141.18
14-Jul,149.15,89.05,3681.68,54.09,347.63,282.51,119.80,653.38,143.75
15-Jul,148.48,86.93,3631.20,53.65,344.46,281.03,118.97,650.60,141.46
16-Jul,146.39,85.89,3573.63,53.70,341.16,280.75,118.73,644.22,139.71
19-Jul,142.45,86.58,3549.59,53.06,336.95,277.01,115.32,646.22,138.79
20-Jul,146.15,87.11,3573.19,53.58,341.66,279.32,117.42,660.50,139.55
21-Jul,145.40,89.41,3585.20,53.88,346.23,281.40,119.27,655.29,142.17
22-Jul,146.80,91.21,3638.03,54.54,351.19,286.14,122.63,649.26,142.44
23-Jul,148.56,92.15,3656.64,55.23,369.79,289.67,125.97,643.38,144.88
26-Jul,148.99,91.82,3699.82,55.47,372.46,289.05,126.06,657.62,143.50
27-Jul,146.77,91.03,3626.39,55.28,367.81,286.54,126.03,644.78,140.93
28-Jul,144.98,97.93,3630.32,54.77,373.28,286.22,122.41,646.98,142.44
29-Jul,145.64,102.95,3599.92,55.07,358.32,286.50,122.38,677.35,150.99
30-Jul,145.86,106.19,3327.59,55.37,356.30,284.91,121.43,687.20,149.80
02-Aug,145.52,108.63,3331.48,55.45,351.95,284.82,120.37,709.67,148.86
03-Aug,147.36,112.56,3366.24,56.25,351.24,287.12,119.13,709.74,147.95
04-Aug,146.95,118.77,3354.72,55.69,358.92,286.51,118.25,710.92,148.22
05-Aug,147.06,112.35,3375.99,55.76,362.97,289.52,119.03,714.63,146.83
06-Aug,146.14,110.11,3344.94,55.59,363.51,289.46,119.05,699.10,146.28
